model_id,pool_class,base_mae_eV,expert_mae_eV,expert_delta_vs_base_eV,equal_average_mae_eV,equal_average_gain_vs_base_eV,oracle_mae_eV,oracle_gain_eV,expert_win_rate,mean_winning_margin_eV,median_winning_margin_eV,mean_losing_margin_eV,gain_p05_eV,gain_p50_eV,gain_p95_eV,residual_correlation_with_base,fold_oracle_gain_min_eV,fold_oracle_gain_max_eV,fold_oracle_gains_eV,pair_oracle_gate_pass
neural_atom_k1_multiplicative_pair_value,primary_k1_v4_lineage,0.14137364135205746,0.14243745906293392,0.0010638177108764635,0.1357733193153143,0.005600322036743155,0.10862136500298977,0.03275227634906769,0.49206,0.06656155011394482,0.044676780700683594,0.06657497747754489,-0.14774391651153565,-0.0012500286102294922,0.14493834972381564,0.8474119889692515,0.03196951386260377,0.03325670073716809,"[0.032254970359802265, 0.033194314881728706, 0.03325670073716809, 0.03196951386260377, 0.03308560896406272]",True
neural_atom_k1_no_attention_uniform_return,primary_k1_v4_lineage,0.14137364135205746,0.13921122228085994,-0.002162419071197519,0.1346193181914091,0.006754323160648362,0.1088727230590582,0.03250091829299927,0.51068,0.06364243419166458,0.043321847915649414,0.06200134722022758,-0.1354905366897583,0.0014498233795166016,0.13910279273986798,0.8506787095965085,0.031456276687962414,0.03315077194177249,"[0.032716951966285726, 0.033144263521404385, 0.03315077194177249, 0.03203576740013836, 0.031456276687962414]",True
neural_atom_k1_no_slot_attention,primary_k1_v4_lineage,0.14137364135205746,0.13961093489587306,-0.0017627064561843986,0.13540844172656535,0.005965199625492107,0.11100334397256374,0.03037029737949372,0.5084,0.059737012941569065,0.040079593658447266,0.058195188826456176,-0.12634129524230955,0.0010721683502197266,0.13085777759551986,0.8692681805196899,0.030003914690017716,0.03059836144853073,"[0.030003914690017716, 0.030434743149404725, 0.03059836144853073, 0.03054614187741571, 0.03026829836105771]",True
neural_atom_k1_pair_token,primary_k1_v4_lineage,0.14137364135205746,0.13833004471719265,-0.003043596634864809,0.134085209633708,0.007288431718349447,0.10802733376920223,0.03334630758285523,0.51244,0.06507358438618223,0.043723344802856445,0.06215175762570846,-0.1340856671333313,0.0017237663269042969,0.14306582212448116,0.853143611545018,0.032416032156626653,0.033865631437301646,"[0.033865631437301646, 0.033829800882161185, 0.033128450160240616, 0.032416032156626653, 0.03349134296769023]",True
neural_atom_k1_pair_token_mose,contextual_feature_identity_mismatch,0.14137364135205746,0.1386557040542364,-0.002717937297821049,0.1341425905793905,0.007231050772666947,0.10813303112924098,0.03324061022281648,0.50666,0.06560733079938512,0.0440974235534668,0.06186944688246528,-0.13472542762756348,0.0008978843688964844,0.14658460617065425,0.8584076725268912,0.03286794420003081,0.03369932814406165,"[0.0330123227119446, 0.03369932814406165, 0.0333148400648369, 0.03286794420003081, 0.033308409981595025]",True
neural_atom_k1_pair_token_node_return,primary_k1_v4_lineage,0.14137364135205746,0.13962897387444972,-0.0017446674776077364,0.1347645922201872,0.00660904913187027,0.10830591844499111,0.033067722907066346,0.50592,0.06536156488588382,0.04452323913574219,0.06339672811985633,-0.1391599416732788,0.0008537769317626953,0.14435231685638417,0.8601829635296239,0.03256033163239462,0.033603784298272016,"[0.03304769284725191, 0.033131669667152516, 0.03256033163239462, 0.03299526036512998, 0.033603784298272016]",True
neural_atom_k1_pair_token_oneshot_triplet,primary_k1_v4_lineage,0.14137364135205746,0.1387662813037634,-0.002607360048294066,0.13432558382451534,0.0070480575275421176,0.10798727272450924,0.03338636862754822,0.51116,0.06531490849743371,0.04446744918823242,0.06296335933895375,-0.13651221990585327,0.0015649795532226562,0.14395859241485584,0.8547327681328232,0.032837137317657486,0.0338131781696534,"[0.032837137317657486, 0.03368562037475488, 0.03324044076171759, 0.03335547051350579, 0.0338131781696534]",True
neural_atom_k1_r,primary_k1_v4_lineage,0.14137364135205746,0.14152100222051145,0.00014736086845398844,0.13540781763970852,0.005965823712348939,0.10923987427175046,0.032133767080307005,0.50178,0.06403955335068558,0.043294429779052734,0.06479291868805144,-0.14310522079467775,0.00019502639770507812,0.14044680595397943,0.8420349332097089,0.03155485747646966,0.03263048337695956,"[0.03171712086200716, 0.03263048337695956, 0.03258940244052376, 0.0321766694657062, 0.03155485747646966]",True
neural_atom_k1_repset_readout,primary_k1_v4_lineage,0.14137364135205746,0.14210806772172452,0.0007344263696670572,0.13552994996011258,0.005843691391944877,0.10880460605561733,0.03256903529644013,0.49624,0.06563162037812374,0.0443422794342041,0.06610977780313478,-0.1452862739562988,-0.0005047321319580078,0.14249022006988493,0.8401026972571,0.03191201797507481,0.032989441442489637,"[0.032989441442489637, 0.032586826225119825, 0.03252320618119767, 0.032833605414510955, 0.03191201797507481]",True
neural_atom_k1_rwse_mose_context_gate,primary_k1_v4_lineage,0.14137364135205746,0.1419007521098852,0.0005271107578277423,0.13584179130494595,0.005531850047111514,0.10914025572240353,0.03223338562965393,0.49362,0.06529999924973447,0.04465198516845703,0.06469547846969013,-0.1438469409942627,-0.0008420944213867188,0.1435220956802368,0.8540751362376804,0.03168546936468593,0.03281444421399535,"[0.03216516416072847, 0.032448191505950005, 0.03281444421399535, 0.03168546936468593, 0.03205339077306428]",True
neural_atom_k1_rwse_mose_residual_gate,primary_k1_v4_lineage,0.14137364135205746,0.1393276348346472,-0.0020460065174102704,0.13506502412736415,0.006308617224693308,0.10956246464669704,0.03181117670536042,0.5076,0.06266977286320018,0.04253673553466797,0.060449167725325215,-0.13317220211029052,0.0010941028594970703,0.13899650573730432,0.8606181063311324,0.031064713590262916,0.032478031248828476,"[0.032085817813873305, 0.032478031248828476, 0.03137962258633298, 0.031064713590262916, 0.03204743934645847]",True
neural_atom_k1_sparse_triplet,primary_k1_v4_lineage,0.14137364135205746,0.14249275653779506,0.0011191151857375958,0.13688996221721172,0.004483679134845736,0.11121292144715786,0.030160719904899602,0.48932,0.061638028089797264,0.040953636169433594,0.06125134152627322,-0.13599863052368164,-0.0013642311096191406,0.1349249362945555,0.868481008509444,0.029731800256192306,0.030806649294922522,"[0.03002808096408846, 0.030806649294922522, 0.030278503459735498, 0.029731800256192306, 0.029958233711218266]",True
neural_atom_k1_spd_pair_token,primary_k1_v4_lineage,0.14137364135205746,0.1397010936206579,-0.0016725477313995485,0.13510449054181575,0.006269150810241708,0.10862165785729885,0.03275198349475861,0.50358,0.0650382928129763,0.04411029815673828,0.06260713863937607,-0.13607852458953856,0.00045990943908691406,0.14380438327789297,0.8646094156724707,0.031985848274913714,0.03364935365066901,"[0.03239210417270662, 0.03364935365066901, 0.031985848274913714, 0.03215985683041303, 0.03357260764706348]",True
neural_atom_k1_tied_selector,primary_k1_v4_lineage,0.14137364135205746,0.1418427457898855,0.00046910443782804956,0.1354551955574751,0.0059184457945823665,0.10842003989160061,0.03295360146045685,0.49408,0.06669689414762153,0.04497122764587402,0.06606322323348536,-0.147021484375,-0.0008392333984375,0.14512951374053945,0.8365855965826902,0.03255741520866583,0.033370498442289856,"[0.033122442030906696, 0.0327783498265416, 0.033370498442289856, 0.03293923056824348, 0.03255741520866583]",True
neural_atom_k1_uniform_return,primary_k1_v4_lineage,0.14137364135205746,0.13954734666764737,-0.0018262946844100902,0.1351262435668707,0.006247397785186765,0.10931085277974606,0.0320627885723114,0.5092,0.06296698462747723,0.04269123077392578,0.06160654826385759,-0.13428847789764403,0.0012135505676269531,0.14003202915191648,0.8694013134850989,0.03152189636230471,0.03277290977128636,"[0.03152189636230471, 0.03241667932931583, 0.03277290977128636, 0.03190388679981328, 0.03169828873916873]",True
neural_atom_k4_cluster,primary_k1_v4_lineage,0.14137364135205746,0.14345298935830594,0.0020793480062484826,0.13553016757190228,0.005843473780155178,0.107802666310668,0.033570975041389464,0.48486,0.06923849160869007,0.046746253967285156,0.06920780215801743,-0.152227783203125,-0.0023131370544433594,0.15018947124481172,0.8404658513498251,0.03291793904304506,0.033940050056273666,"[0.03291793904304506, 0.03387743566532701, 0.033940050056273666, 0.03344672583274591, 0.03367259123726449]",True
pair_prenorm,contextual_gptrans_contract,0.14137364135205746,0.1535023336213827,0.012128692269325253,0.1368404725188017,0.004533168833255774,0.10480835385262967,0.03656528749942779,0.458,0.079836872269493,0.05413007736206055,0.08984129108626024,-0.20055732727050782,-0.007942676544189453,0.16922874450683567,0.7484688664576281,0.036051351491742906,0.037204119796203514,"[0.036188906788826, 0.03662185615078872, 0.036051351491742906, 0.037204119796203514, 0.036760404482439155]",True
pcqm_gptrans_t_100k_v4,contextual_gptrans_contract,0.14137364135205746,0.15662720430791377,0.015253562955856309,0.138246925830245,0.0031267155218124565,0.10526894550263882,0.03610469584941864,0.45206,0.0798670438645725,0.053873538970947266,0.09372971275189795,-0.20849435329437255,-0.009315967559814453,0.16904652118682856,0.7433464689635391,0.03525603480339051,0.03692547980099603,"[0.03525603480339051, 0.03657391435275563, 0.03692547980099603, 0.03557045451639462, 0.03619728459909359]",True
