target,feature,importance_gain,importance_split
homo,morgan_322,0.40658999979496,3
homo,morgan_1014,0.39845480024814606,5
homo,morgan_253,0.3935220018029213,2
homo,morgan_882,0.3869770001620054,7
homo,morgan_1823,0.3819732032716274,3
homo,desc_fr_COO,0.3794889897108078,2
homo,morgan_1279,0.3779109939932823,2
homo,morgan_1893,0.3777712993323803,8
homo,morgan_1966,0.37679990381002426,4
homo,morgan_821,0.3752110004425049,1
homo,morgan_689,0.37426599860191345,1
homo,morgan_1527,0.37421419098973274,5
homo,morgan_1939,0.3728010058403015,2
homo,morgan_284,0.3686259984970093,2
homo,morgan_1737,0.3679793104529381,2
homo,morgan_670,0.36744270101189613,5
homo,morgan_606,0.36395199596881866,2
homo,morgan_7,0.36076559871435165,5
homo,morgan_732,0.3588416986167431,4
homo,morgan_320,0.355789203196764,8
homo,morgan_1770,0.3555647060275078,3
homo,desc_RingCount,0.3549189865589142,1
homo,morgan_1157,0.35156479477882385,5
homo,morgan_1430,0.3509569987654686,2
homo,morgan_1138,0.35059700906276703,2
homo,morgan_440,0.350308395922184,3
homo,morgan_1047,0.34966229647397995,3
homo,morgan_395,0.3472819924354553,3
