feature,total_gain
torsion_1672,7.0
morgan_926,7.0
atompair_373,7.0
torsion_1846,7.0
morgan_1352,7.0
atompair_502,7.0
morgan_1232,7.0
torsion_1996,7.0
torsion_544,7.0
torsion_484,7.0
atompair_1777,7.0
torsion_292,7.0
torsion_889,7.0
torsion_1857,7.0
atompair_152,7.0
morgan_397,7.0
torsion_1708,7.0
atompair_1178,7.0
torsion_1640,7.0
torsion_1840,7.0
morgan_40,7.0
atompair_936,7.0
torsion_348,7.0
morgan_534,7.0
atompair_405,7.0
atompair_712,7.0
torsion_804,7.0
atompair_356,7.0
morgan_1066,7.0
maccs_66,7.0
atompair_629,7.0
torsion_593,7.0
torsion_741,7.0
torsion_560,7.0
morgan_95,7.0
morgan_107,7.0
desc_fr_alkyl_halide,7.0
torsion_588,7.0
morgan_46,6.0
morgan_50,6.0
torsion_812,6.0
torsion_740,6.0
torsion_684,6.0
torsion_2032,6.0
atompair_880,6.0
atompair_868,6.0
morgan_237,6.0
desc_NumSaturatedHeterocycles,6.0
morgan_540,6.0
torsion_432,6.0
atompair_605,6.0
atompair_701,6.0
morgan_1323,6.0
morgan_1260,6.0
morgan_1319,6.0
torsion_654,6.0
atompair_345,6.0
torsion_2028,6.0
morgan_86,6.0
atompair_929,6.0
morgan_1186,6.0
desc_fr_Al_OH_noTert,6.0
torsion_1149,6.0
atompair_1795,6.0
torsion_374,6.0
torsion_313,6.0
morgan_1298,6.0
maccs_33,6.0
morgan_1381,6.0
maccs_147,6.0
maccs_141,6.0
torsion_1709,6.0
atompair_140,6.0
atompair_1081,6.0
torsion_1796,6.0
atompair_44,6.0
atompair_100,6.0
atompair_28,6.0
maccs_99,6.0
morgan_166,6.0
morgan_515,6.0
torsion_940,6.0
torsion_265,6.0
atompair_552,6.0
atompair_1140,6.0
torsion_964,6.0
atompair_1913,6.0
morgan_1575,6.0
morgan_1855,6.0
atompair_1576,6.0
morgan_1815,6.0
morgan_771,6.0
morgan_777,6.0
morgan_716,6.0
morgan_718,6.0
atompair_1580,6.0
morgan_1862,6.0
morgan_1867,6.0
torsion_1548,6.0
torsion_1550,6.0
torsion_1556,6.0
torsion_1537,6.0
torsion_1818,6.0
torsion_1821,6.0
atompair_1865,6.0
atompair_1856,6.0
morgan_1637,6.0
morgan_608,6.0
torsion_1561,6.0
torsion_1756,6.0
desc_NumValenceElectrons,6.0
atompair_894,6.0
atompair_1556,6.0
morgan_1898,6.0
atompair_1548,6.0
morgan_1794,6.0
torsion_1272,6.0
morgan_1750,6.0
atompair_1753,6.0
atompair_1654,6.0
atompair_1657,6.0
morgan_1845,6.0
torsion_1661,6.0
atompair_1896,6.0
atompair_1909,6.0
desc_NumBridgeheadAtoms,6.0
morgan_1583,6.0
atompair_1997,6.0
atompair_1945,6.0
morgan_1560,6.0
morgan_957,6.0
morgan_602,6.0
morgan_680,6.0
torsion_1496,6.0
atompair_762,6.0
atompair_1335,6.0
maccs_15,6.0
morgan_1224,6.0
morgan_74,6.0
morgan_63,6.0
atompair_280,6.0
atompair_298,6.0
atompair_994,6.0
morgan_1079,6.0
atompair_964,6.0
torsion_1716,6.0
atompair_1297,6.0
atompair_1445,6.0
atompair_1498,6.0
morgan_1982,6.0
atompair_1457,6.0
morgan_1967,6.0
morgan_1969,6.0
morgan_2004,6.0
atompair_1509,6.0
atompair_805,6.0
atompair_388,6.0
morgan_684,6.0
torsion_1416,6.0
maccs_92,6.0
atompair_1019,6.0
atompair_204,6.0
torsion_1032,6.0
morgan_133,6.0
morgan_135,6.0
morgan_80,6.0
atompair_632,6.0
torsion_452,6.0
morgan_1145,6.0
torsion_496,6.0
atompair_648,6.0
torsion_538,6.0
torsion_600,5.0
torsion_541,5.0
morgan_1218,5.0
torsion_445,5.0
torsion_446,5.0
torsion_1953,5.0
atompair_976,5.0
torsion_408,5.0
torsion_400,5.0
torsion_668,5.0
atompair_625,5.0
morgan_1286,5.0
morgan_1133,5.0
atompair_2037,5.0
atompair_2040,5.0
atompair_2021,5.0
morgan_1511,5.0
morgan_981,5.0
torsion_1000,5.0
torsion_12,5.0
atompair_1029,5.0
torsion_1900,5.0
