target,feature,feature_type,coef,abs_coef,abs_coef_norm
gap,morgan_1284,morgan,-0.00021002150606364012,0.00021002150606364012,5.705480361939408e-06
gap,morgan_708,morgan,0.0002060311962850392,0.0002060311962850392,5.597079052677145e-06
gap,morgan_1620,morgan,-0.00020549299370031804,0.00020549299370031804,5.582458015851444e-06
gap,morgan_725,morgan,0.00020208062778692693,0.00020208062778692693,5.489757313625887e-06
gap,morgan_1650,morgan,-0.000196384935406968,0.000196384935406968,5.335026799002662e-06
gap,morgan_2017,morgan,-0.0001821268378989771,0.0001821268378989771,4.947688921674853e-06
gap,morgan_1273,morgan,0.00016988014976959676,0.00016988014976959676,4.614993486029562e-06
gap,morgan_1122,morgan,-0.00016583850083407015,0.00016583850083407015,4.50519746664213e-06
gap,morgan_711,morgan,0.00016412667173426598,0.00016412667173426598,4.458693638298428e-06
gap,morgan_1652,morgan,0.00016275353846140206,0.00016275353846140206,4.421390713105211e-06
gap,morgan_1147,morgan,0.00015855133824516088,0.00015855133824516088,4.307232757128077e-06
gap,morgan_1250,morgan,-0.00015176329179666936,0.00015176329179666936,4.122827704122756e-06
gap,morgan_1423,morgan,0.00015069215442053974,0.00015069215442053974,4.093728875886882e-06
gap,morgan_144,morgan,0.0001265551836695522,0.0001265551836695522,3.4380200304440223e-06
gap,desc_fr_Ar_COO,rdkit_desc,0.00012508251529652625,0.00012508251529652625,3.3980131775024347e-06
gap,morgan_1007,morgan,0.00012132154370192438,0.00012132154370192438,3.2958419069473166e-06
gap,morgan_1131,morgan,-0.00011519109830260277,0.00011519109830260277,3.1293011488742195e-06
gap,morgan_1782,morgan,0.00011209430522285402,0.00011209430522285402,3.045173116333899e-06
gap,morgan_1228,morgan,-0.0001073450839612633,0.0001073450839612633,2.9161551537981723e-06
gap,morgan_527,morgan,-0.00010599774395814165,0.00010599774395814165,2.8795529942726716e-06
gap,morgan_967,morgan,-0.0001053132873494178,0.0001053132873494178,2.860958829842275e-06
gap,morgan_1838,morgan,-0.00010499871132196859,0.00010499871132196859,2.852412990250741e-06
gap,morgan_1460,morgan,-0.00010396631842013448,0.00010396631842013448,2.8243669021321693e-06
gap,morgan_248,morgan,-0.00010005602234741673,0.00010005602234741673,2.7181390578334685e-06
gap,morgan_471,morgan,-0.00010005246440414339,0.00010005246440414339,2.718042424021405e-06
gap,morgan_1989,morgan,-9.298249642597511e-05,9.298249642597511e-05,2.5259785161324544e-06
gap,morgan_702,morgan,-9.009282075567171e-05,9.009282075567171e-05,2.447477072564652e-06
gap,morgan_420,morgan,-8.866858843248338e-05,8.866858843248338e-05,2.40878625845653e-06
gap,desc_fr_N_O,rdkit_desc,8.568426710553467e-05,8.568426710553467e-05,2.3277136733668158e-06
gap,morgan_1935,morgan,-8.11079444247298e-05,8.11079444247298e-05,2.2033923414710443e-06
gap,morgan_667,morgan,-7.9095181718003e-05,7.9095181718003e-05,2.1487132926267805e-06
gap,morgan_536,morgan,-5.112927101436071e-05,5.112927101436071e-05,1.3889865613236907e-06
gap,morgan_545,morgan,4.96760658279527e-05,4.96760658279527e-05,1.349508579551184e-06
gap,morgan_948,morgan,4.822260234504938e-05,4.822260234504938e-05,1.3100235491947387e-06
gap,morgan_379,morgan,3.711356839630753e-05,3.711356839630753e-05,1.0082335393235553e-06
gap,morgan_1879,morgan,2.763491283985786e-05,2.763491283985786e-05,7.507347845603363e-07
gap,morgan_280,morgan,-2.070087612082716e-05,2.070087612082716e-05,5.623635388474213e-07
gap,morgan_348,morgan,1.1918040399905294e-05,1.1918040399905294e-05,3.237675514355942e-07
gap,morgan_1904,morgan,5.557147233048454e-06,5.557147233048454e-06,1.509664144805356e-07
gap,morgan_1797,morgan,4.311993052397156e-06,4.311993052397156e-06,1.171403454236497e-07
homo,desc_TPSA,rdkit_desc,-0.6404203772544861,0.6404203772544861,0.030753804370760918
homo,desc_MinPartialCharge,rdkit_desc,-0.44094470143318176,0.44094470143318176,0.021174727007746696
homo,desc_MaxAbsPartialCharge,rdkit_desc,-0.41922083497047424,0.41922083497047424,0.020131520926952362
homo,desc_MinAbsPartialCharge,rdkit_desc,-0.3932500183582306,0.3932500183582306,0.018884368240833282
homo,desc_fr_NH0,rdkit_desc,0.38720226287841797,0.38720226287841797,0.01859394647181034
homo,desc_MaxPartialCharge,rdkit_desc,0.38187259435653687,0.38187259435653687,0.01833800971508026
homo,desc_SMR_VSA1,rdkit_desc,0.35221242904663086,0.35221242904663086,0.01691369153559208
homo,desc_HallKierAlpha,rdkit_desc,-0.3103649914264679,0.3103649914264679,0.014904123730957508
homo,desc_Chi0n,rdkit_desc,0.2454099953174591,0.2454099953174591,0.011784901842474937
homo,desc_Chi0v,rdkit_desc,0.24535749852657318,0.24535749852657318,0.011782380752265453
