target,feature,feature_type,importance_gain,importance_split,importance_gain_norm,importance_split_norm
homo,morgan_924,morgan,4.91091737523675,11,0.00017705674166123753,0.0007333333333333333
homo,desc_NumAromaticCarbocycles,rdkit_desc,4.881700024008751,7,0.00017600334804592508,0.00046666666666666666
homo,morgan_1922,morgan,4.840334666892886,20,0.0001745119738710062,0.0013333333333333333
homo,morgan_486,morgan,4.795139044523239,7,0.00017288250446179307,0.00046666666666666666
homo,morgan_133,morgan,4.737108733505011,21,0.00017079029703873897,0.0014
homo,morgan_231,morgan,4.665212959051132,12,0.00016819818835692648,0.0008
homo,morgan_960,morgan,4.640764951705933,6,0.00016731674723505414,0.0004
homo,morgan_1810,morgan,4.607415050268173,17,0.00016611435989433688,0.0011333333333333334
homo,morgan_1837,morgan,4.550221651792526,20,0.00016405232626500043,0.0013333333333333333
homo,morgan_1154,morgan,4.517593145370483,3,0.00016287594788374512,0.0002
homo,desc_fr_hdrzine,rdkit_desc,4.509596019983292,10,0.0001625876219243526,0.0006666666666666666
homo,morgan_1766,morgan,4.506700076162815,9,0.00016248321243469732,0.0006
homo,morgan_248,morgan,4.506400018930435,5,0.00016247239426126503,0.0003333333333333333
homo,morgan_1963,morgan,4.503890037536621,1,0.00016238190014514325,6.666666666666667e-05
homo,morgan_1224,morgan,4.456629991531372,11,0.00016067800062554563,0.0007333333333333333
homo,morgan_1238,morgan,4.444004014134407,8,0.00016022278742455233,0.0005333333333333334
homo,morgan_1075,morgan,4.405181914567947,13,0.0001588231070942853,0.0008666666666666666
homo,morgan_94,morgan,4.342845883220434,12,0.000156575662522292,0.0008
homo,morgan_235,morgan,4.338293720036745,13,0.0001564115401966185,0.0008666666666666666
homo,morgan_1282,morgan,4.326656088232994,7,0.00015599196051111709,0.00046666666666666666
homo,morgan_1663,morgan,4.281832195818424,11,0.00015437589334217698,0.0007333333333333333
homo,morgan_876,morgan,4.2107431925833225,15,0.0001518128717478368,0.001
homo,morgan_647,morgan,4.179616034030914,5,0.00015069062251223516,0.0003333333333333333
homo,morgan_1415,morgan,4.1250200271606445,1,0.00014872223446056314,6.666666666666667e-05
homo,morgan_562,morgan,4.095290839672089,11,0.00014765038725427494,0.0007333333333333333
homo,desc_fr_N_O,rdkit_desc,4.08781448379159,19,0.00014738083696243416,0.0012666666666666666
homo,morgan_836,morgan,4.0866110771894455,4,0.00014733744970184948,0.0002666666666666667
homo,morgan_287,morgan,3.998606849461794,14,0.00014416457167860228,0.0009333333333333333
homo,morgan_407,morgan,3.9686321020126343,5,0.00014308387112716797,0.0003333333333333333
homo,morgan_1475,morgan,3.9619166627526283,10,0.00014284175469487037,0.0006666666666666666
homo,morgan_480,morgan,3.9215609654784203,16,0.00014138678249296194,0.0010666666666666667
homo,morgan_371,morgan,3.9210139717906713,18,0.00014136706134665423,0.0012
homo,morgan_136,morgan,3.904126077890396,4,0.0001407581902867213,0.0002666666666666667
homo,morgan_1754,morgan,3.8974838703870773,12,0.00014051871413020813,0.0008
homo,desc_LabuteASA,rdkit_desc,3.8269485905766487,26,0.00013797565631409165,0.0017333333333333333
homo,morgan_1448,morgan,3.8235500380396843,12,0.00013785312592056603,0.0008
homo,morgan_1604,morgan,3.649823948740959,3,0.00013158965761871978,0.0002
homo,morgan_979,morgan,3.5843842029571533,8,0.00012923031265762443,0.0005333333333333334
homo,morgan_1954,morgan,3.548930136486888,18,0.00012795206238212198,0.0012
homo,morgan_35,morgan,3.5081570148468018,7,0.0001264820404873629,0.00046666666666666666
homo,morgan_870,morgan,3.457533113658428,15,0.000124656861542225,0.001
homo,morgan_74,morgan,3.3395601511001587,2,0.00012040349974468847,0.00013333333333333334
homo,morgan_1100,morgan,3.329918932169676,14,0.00012005589812995114,0.0009333333333333333
homo,desc_NumSaturatedHeterocycles,rdkit_desc,3.318509042263031,9,0.00011964452938248028,0.0006
homo,desc_fr_epoxide,rdkit_desc,3.3106600642204285,7,0.00011936154468300206,0.00046666666666666666
homo,morgan_1357,morgan,3.2742669582366943,5,0.00011804943855861395,0.0003333333333333333
homo,morgan_879,morgan,3.228503003716469,10,0.0001163994786725563,0.0006666666666666666
homo,morgan_528,morgan,3.2251988872885704,12,0.00011628035305017402,0.0008
homo,morgan_1459,morgan,3.219151735305786,2,0.00011606233084686817,0.00013333333333333334
homo,morgan_1199,morgan,3.217484999448061,10,0.00011600223885231196,0.0006666666666666666
homo,desc_NumAromaticRings,rdkit_desc,3.192045971751213,5,0.00011508506778000966,0.0003333333333333333
homo,desc_NumAtomStereoCenters,rdkit_desc,3.1355684883892536,12,0.00011304884553939148,0.0008
homo,morgan_1076,morgan,3.1064489632844925,11,0.00011199897891777619,0.0007333333333333333
homo,morgan_1377,morgan,3.095709979534149,10,0.00011161179881957772,0.0006666666666666666
homo,morgan_323,morgan,3.070533961057663,8,0.00011070411020279767,0.0005333333333333334
homo,morgan_809,morgan,3.0651884600520134,14,0.00011051138511331038,0.0009333333333333333
homo,morgan_1457,morgan,3.0453500375151634,4,0.00010979613657913928,0.0002666666666666667
homo,morgan_1727,morgan,3.014885425567627,14,0.00010869777460005084,0.0009333333333333333
homo,morgan_1118,morgan,2.955514047294855,14,0.00010655721674055172,0.0009333333333333333
homo,morgan_820,morgan,2.9289810992777348,16,0.000105600605793223,0.0010666666666666667
homo,morgan_2047,morgan,2.9278147369623184,10,0.00010555855411623787,0.0006666666666666666
homo,morgan_1973,morgan,2.9197196066379547,14,0.00010526669471624424,0.0009333333333333333
homo,morgan_1155,morgan,2.917642615735531,16,0.00010519181150939219,0.0010666666666666667
homo,morgan_599,morgan,2.904813699424267,9,0.00010472928160966901,0.0006
homo,morgan_1066,morgan,2.8939064852893353,12,0.00010433603618365748,0.0008
homo,morgan_980,morgan,2.838438928127289,3,0.00010233622551925041,0.0002
homo,desc_fr_Ndealkylation1,rdkit_desc,2.837670687586069,16,0.00010230852760526671,0.0010666666666666667
homo,morgan_389,morgan,2.754065103828907,7,9.929423697203951e-05,0.00046666666666666666
homo,desc_NumSaturatedCarbocycles,rdkit_desc,2.6835479885339737,7,9.675183405391492e-05,0.00046666666666666666
homo,morgan_1017,morgan,2.6669069826602936,6,9.615186422082089e-05,0.0004
homo,morgan_52,morgan,2.652053389698267,14,9.561633723657959e-05,0.0009333333333333333
homo,morgan_1447,morgan,2.634829968214035,2,9.49953691658005e-05,0.00013333333333333334
homo,morgan_1589,morgan,2.58625016361475,7,9.324388746581072e-05,0.00046666666666666666
homo,morgan_1445,morgan,2.583346962928772,8,9.313921633930391e-05,0.0005333333333333334
homo,morgan_1855,morgan,2.5804429948329926,3,9.303451754483436e-05,0.0002
homo,morgan_471,morgan,2.5651725120842457,12,9.248396014129895e-05,0.0008
